N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
1000.000000,0.002642,0.001993,0.000240,0.000268,0.002234,0.000385,0.000111,0.000110,0.000111,0.000518,0.001722,0.000438,0.000574,0.000021,0.000006,0.000019,0.000615,0.000006,0.000005,0.000006,0.000004,0.000437
2000.000000,0.008633,0.006587,0.000451,0.000475,0.006954,0.000652,0.000164,0.000148,0.000169,0.001281,0.004827,0.000745,0.001814,0.000030,0.000010,0.000028,0.001978,0.000008,0.000007,0.000010,0.000005,0.001527
3000.000000,0.015676,0.012351,0.000628,0.000641,0.015880,0.000983,0.000217,0.000209,0.000235,0.002367,0.014616,0.001177,0.003960,0.000046,0.000015,0.000042,0.004621,0.000012,0.000011,0.000012,0.000008,0.003659
4000.000000,0.027646,0.022493,0.000877,0.000867,0.026530,0.001453,0.000281,0.000276,0.000317,0.004232,0.021214,0.001609,0.006939,0.000061,0.000026,0.000057,0.007603,0.000020,0.000015,0.000015,0.000011,0.008839
5000.000000,0.045482,0.039066,0.001130,0.001111,0.050156,0.001692,0.000349,0.000332,0.000377,0.006192,0.041913,0.002088,0.010823,0.000076,0.000026,0.000076,0.011896,0.000020,0.000018,0.000022,0.000016,0.011014
6000.000000,0.060607,0.053631,0.001365,0.001615,0.060323,0.002237,0.000412,0.000396,0.000450,0.008743,0.051238,0.002558,0.015598,0.000112,0.000025,0.000093,0.017181,0.000027,0.000021,0.000032,0.000017,0.020404
7000.000000,0.083895,0.076827,0.001711,0.001649,0.093374,0.002689,0.000464,0.000458,0.000515,0.011792,0.087573,0.003216,0.021161,0.000122,0.000034,0.000148,0.023205,0.000034,0.000026,0.000036,0.000017,0.034967
8000.000000,0.107744,0.095497,0.002129,0.002095,0.121894,0.003016,0.000527,0.000515,0.000590,0.014809,0.104068,0.003795,0.032324,0.000118,0.000041,0.000152,0.034754,0.000034,0.000028,0.000035,0.000019,0.034662
9000.000000,0.131042,0.124415,0.002194,0.002097,0.150014,0.003485,0.000592,0.000568,0.000646,0.018784,0.129438,0.004168,0.040669,0.000157,0.000041,0.000157,0.043865,0.000044,0.000032,0.000038,0.000020,0.086294
9999.000000,0.164772,0.157412,0.002467,0.002294,0.209700,0.004203,0.000634,0.000677,0.000734,0.023577,0.196550,0.004739,0.043515,0.000171,0.000051,0.000156,0.047988,0.000050,0.000038,0.000042,0.000021,0.067555
